,PSZ2 Indx,Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,SDSS Catalog,SNR,PSZ1,Redshift,Semester,Val,PCCS2,PSZ1 Name,Optical run1,Optical run2,IR run1,Optical Bands,Optical Status,IR Status,Observable,ROSAT,RASS rate,RASS S/N,New RASS rate,New RASS S/N,PSZ1 Index,PSZ2 Index,New S/N,Old S/N
22,675,PSZ2_G137.58+53.88,174.86224130000002,61.15028912,11:39:27,+61:09:01.04,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=174.862241&dec=61.150289&opt=S,MADE,8.1791,497,-1,-999.0,-1,T,PSZ1_G137.56+53.88,20-Feb-14,,21-Mar-14,,unknown,unknown,True,ROS-PSPC,-0.0075,-4.06,-0.0076,-4.09,497.0,675.0,8.179,5.729
23,795,PSZ2_G166.27-25.02,55.43459157,23.18345871,3:41:44,+23:11:00.45,False,,,8.0897,-1,-1,2.0,-1,T,,,,,,unknown,unknown,True,,,,-0.0058,-2.23,,,,
24,1375,PSZ2_G292.84-16.57,149.2666707,-75.90834612,9:57:04,-75:54:30,False,,,7.9734,1023,-1,-1.0,-1,F,PSZ1_G292.83-16.60,,,,,unknown,unknown,False,RASS BCS,0.0713,4.08,0.1012,4.97,1023.0,1375.0,7.973,4.954
25,673,PSZ2_G137.24+53.93,175.27723659999998,61.19417407,11:41:07,+61:11:39.02,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=175.277237&dec=61.194174&opt=S,MADE,7.8731,-1,-1,1.0,-1,F,,,,21-Feb-16,,unknown,unknown,True,,,,-0.0036,-1.12,,,,
26,1120,PSZ2_G246.86-12.29,107.0408592,-35.62741104,7:08:10,-35:37:39,False,,,7.8616,839,-1,-999.0,-1,T,PSZ1_G246.85-12.28,7-Sep-13,28-Nov-13,1-Dec-14,,unknown,unknown,True,,-0.0007,-0.2,-0.0009,-0.25,839.0,1120.0,7.862,7.462000000000001
27,1575,PSZ2_G337.90+23.58,229.8026131,-29.07012872,15:19:13,-29:04:12,False,,,7.7894,1171,-1,-999.0,-1,T,PSZ1_G337.89+23.60,28-Mar-14,,,,unknown,unknown,False,,-0.0027,-0.43,-0.0048,-0.87,1171.0,1575.0,7.789,6.742999999999999
28,98,PSZ2_G028.15-08.62,288.4216367,-8.140585426,19:13:41,-8:08:26,False,,,7.6665,72,-1,-1.0,-1,F,PSZ1_G028.15-08.63,30-Apr-16,,,,unknown,unknown,True,,0.0119,1.39,0.0075,0.93,72.0,98.0,7.667000000000001,5.072
29,800,PSZ2_G167.44-38.06,47.30173852,12.61985997,3:09:12,+12:37:11.49,False,,,7.6566,580,-1,-999.0,-1,T,PSZ1_G167.43-38.04,25-Oct-14,,xxx,,unknown,unknown,True,,0.0111,1.1,0.011000000000000001,1.1,580.0,800.0,7.657,6.107
30,1628,PSZ2_G349.50-06.85,266.9918117,-41.44786633,17:47:58,-41:26:52,False,,,7.6061,1209,-1,-1.0,-1,F,PSZ1_G349.51-06.86,,,,,unknown,unknown,False,,0.0248,1.37,0.021,1.21,1209.0,1628.0,7.606,6.103
31,952,PSZ2_G210.71+63.08,162.9234653,24.96921975,10:51:42,+24:58:09.19,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=162.923465&dec=24.969220&opt=S,MADE,7.3734,-1,-1,1.0,-1,T,,,,22-Feb-16,,unknown,unknown,True,,,,0.0017,0.33,,,,
32,1463,PSZ2_G309.62-19.95,234.82538,-80.56573974,15:39:18,-80:33:57,False,,,7.3513,1090,-1,-1.0,-1,T,PSZ1_G309.62-19.95,,,,,unknown,unknown,False,,-0.0011,-0.15,-0.0013,-0.18,1090.0,1463.0,7.351,6.441
33,1510,PSZ2_G320.94+83.69,194.9459811,21.11573247,12:59:47,+21:06:56.63,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=194.945981&dec=21.115732&opt=S,MADE,7.3218,-1,-1,1.0,-1,T,,,,22-Feb-16,,unknown,unknown,True,,,,0.0074,1.33,,,,
34,875,PSZ2_G189.79-37.25,59.90453503,0.131891524,3:59:37,+00:07:54.80,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=59.904535&dec=0.131892&opt=S,MADE,7.2778,641,-1,-999.0,-1,F,PSZ1_G189.82-37.25,7-Sep-13,28-Nov-13,3-Nov-14,,unknown,unknown,True,,0.0043,0.78,0.0009,0.21,641.0,875.0,7.278,6.992999999999999
35,1199,PSZ2_G260.80+06.71,136.2992971,-37.02497175,9:05:12,-37:01:30,False,,,7.2589,894,-1,-1.0,-1,F,PSZ1_G260.83+06.73,,,,,unknown,unknown,True,,0.0161,2.33,0.0097,1.59,894.0,1199.0,7.2589999999999995,4.704
36,1385,PSZ2_G294.28-19.03,146.5609664,-78.65899878,9:46:15,-78:39:32,False,,,7.2524,-1,-1,-1.0,-1,F,,,,,,unknown,unknown,False,,,,-0.0044,-2.08,,,,
37,1540,PSZ2_G327.27+11.05,227.83563619999998,-45.10250732,15:11:21,-45:06:09,False,,,7.2466,1141,-1,-999.0,-1,T,PSZ1_G327.27+11.05,28-Mar-14,,,,unknown,unknown,False,,0.0102,1.1,0.0102,1.1,1141.0,1540.0,7.247000000000001,6.289
38,525,PSZ2_G107.83-45.45,1.8955148569999998,16.13084928,0:07:35,+16:07:51.05,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=1.895515&dec=16.130849&opt=S,MADE,7.0946,-1,-1,2.0,-1,T,,,,,,unknown,unknown,True,,,,-0.0008,-0.15,,,,
39,1160,PSZ2_G253.44-10.93,112.1382027,-40.85460056,7:28:33,-40:51:17,False,,,7.075,867,-1,-999.0,-1,T,PSZ1_G253.42-10.94,28-Nov-13,28-Jan-14,2-Dec-14,,unknown,unknown,False,,-0.0031,-0.57,-0.0033,-0.59,867.0,1160.0,7.075,6.265
40,1294,PSZ2_G278.79+08.54,156.2233157,-47.337400200000005,10:24:54,-47:20:15,False,,,7.0701,961,-1,-999.0,-1,F,PSZ1_G278.78+08.54,28-Jan-14,,,,unknown,unknown,False,,0.0201,2.05,0.017,1.83,961.0,1294.0,7.07,5.978
41,882,PSZ2_G192.40-67.89,34.5818793,-17.75636893,2:18:20,-17:45:23,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=34.581879&dec=-17.756369&opt=S,MADE,7.0301,-1,-1,-2.0,-1,F,,,,,,unknown,unknown,True,,,,-0.0058,-2.24,,,,
42,80,PSZ2_G024.46-18.08,295.5950788,-15.43575602,19:42:23,-15:26:09,False,,,6.9758,-1,-1,,-1,F,,,,,,unknown,unknown,True,,,,-0.0064,-2.1,,,,
43,631,PSZ2_G127.35-10.69,19.92309251,51.93760921,1:19:42,+51:56:15.39,False,,,6.9407,465,-1,,-1,F,PSZ1_G127.36-10.69,25-Oct-14,,5-Nov-14,,unknown,unknown,True,,0.0028,0.38,0.006999999999999999,0.82,465.0,631.0,6.941,5.5760000000000005
44,668,PSZ2_G136.31+54.67,176.959825,60.76557528,11:47:50,+60:45:56.07,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=176.959825&dec=60.765575&opt=S,MADE,6.9194,-1,-1,,-1,T,,,,22-Feb-16,,unknown,unknown,True,,,,-0.0006,-0.14,,,,
45,1284,PSZ2_G276.46-21.52,110.1690605,-65.29388282,7:20:41,-65:17:38,False,,,6.916,956,-1,,-1,T,PSZ1_G276.48-21.52,31-Dec-15,,,,unknown,unknown,False,,0.0302,3.92,0.032,4.05,956.0,1284.0,6.916,4.522
46,666,PSZ2_G135.94-68.22,17.67392757,-5.845709225,1:10:42,-5:50:45,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=17.673928&dec=-5.845709&opt=S,MADE,6.8663,-1,-1,,-1,T,,24-Aug-15,,,,unknown,unknown,True,,,,0.0002,0.06,,,,
47,117,PSZ2_G033.27-17.54,298.7166445,-7.603083208999999,19:54:52,-7:36:11,False,,,6.8545,91,-1,,-1,F,PSZ1_G033.33-17.54,9-Sep-16,,,,unknown,unknown,True,,0.0047,0.67,0.0073,0.96,91.0,117.0,6.855,5.784
48,419,PSZ2_G092.46-35.22,346.4589494,21.32443381,23:05:50,+21:19:27.96,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=346.458949&dec=21.324434&opt=S,MADE,6.7274,318,-1,,-1,F,PSZ1_G092.46-35.25,26-Oct-14,,5-Nov-14,,unknown,unknown,True,,-0.0035,-1.14,-0.0039,-1.27,318.0,419.0,6.727,5.4670000000000005
49,1444,PSZ2_G305.96-37.15,359.2900797,-79.65246045,23:57:10,-79:39:09,False,,,6.7212,1073,-1,,-1,F,PSZ1_G305.97-37.15,1-Nov-14,,1-Dec-14,,unknown,unknown,False,,0.0387,2.4,0.0336,2.19,1073.0,1444.0,6.721,5.992999999999999
50,1653,PSZ2_G359.67-07.23,273.5496293,-32.79096593,18:14:12,-32:47:27,False,,,6.7109,1226,-1,,-1,T,PSZ1_G359.67-07.23,,,,,unknown,unknown,False,RASS BCS/WGACAT,0.1359,3.88,0.1425,3.99,1226.0,1653.0,6.711,5.654
51,1576,PSZ2_G337.91-12.15,265.25631830000003,-53.98345366,17:41:02,-53:59:00,False,,,6.6766,1172,-1,,-1,F,PSZ1_G337.91-12.15,13-Jul-16,,,,unknown,unknown,False,WGACAT,-0.0085,-0.74,-0.0081,-0.71,1172.0,1576.0,6.6770000000000005,4.9830000000000005
52,1443,PSZ2_G305.96-25.45,251.91903109999998,-86.81068985,16:47:41,-86:48:38,False,,,6.6438,1072,-1,,-1,T,PSZ1_G305.93-25.47,,,,,unknown,unknown,False,,0.0467,2.93,0.0416,2.72,1072.0,1443.0,6.644,5.2589999999999995
53,185,PSZ2_G047.53+08.55,281.74411119999996,16.84316444,18:46:59,+16:50:35.39,False,,,6.5539,144,-1,,-1,T,PSZ1_G047.53+08.55,14-Jun-16,,,,unknown,unknown,True,,0.023,1.09,0.023,1.09,144.0,185.0,6.553999999999999,5.816
54,1310,PSZ2_G281.48-08.34,141.64620159999998,-62.34633032,9:26:35,-62:20:47,False,,,6.5178,976,-1,,-1,F,PSZ1_G281.49-08.34,17-Mar-16,,,,unknown,unknown,False,,0.0211,2.09,0.0212,2.11,976.0,1310.0,6.518,5.125
55,617,PSZ2_G125.55+32.72,171.3945938,83.95809085,11:25:35,+83:57:29.12,False,,,6.4852,-1,-1,,-1,F,,,,23-Feb-16,,unknown,unknown,True,,,,0.0353,3.71,,,,
56,1409,PSZ2_G297.64-11.94,173.7429101,-74.02848759999999,11:34:58,-74:01:43,False,,,6.4649,1045,-1,,-1,T,PSZ1_G297.64-11.94,29-Jan-14,,,,unknown,unknown,False,,-0.0037,-0.82,-0.0037,-0.82,1045.0,1409.0,6.465,5.86
57,1141,PSZ2_G250.43-09.02,112.6018754,-37.35368004,7:30:24,-37:21:13,False,,,6.4441,854,-1,,-1,T,PSZ1_G250.43-09.05,28-Jan-14,,,,unknown,unknown,True,,0.002,0.33,0.0204,2.07,854.0,1141.0,6.444,6.011
58,91,PSZ2_G027.77+10.88,270.8407059,0.432664216,18:03:22,+00:25:57.59,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=270.840706&dec=0.432664&opt=S,MADE,6.4166,-1,-1,,-1,T,,14-Jun-16,,,,unknown,unknown,True,,,,0.001,0.11,,,,
59,497,PSZ2_G104.15-38.85,357.201837,21.7235008,23:48:48,+21:43:24.60,True,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=357.201837&dec=21.723501&opt=S,MADE,6.4145,-1,-1,,-1,T,,14-Jun-16,,,,unknown,unknown,True,,,,0.0041,0.94,,,,
60,776,PSZ2_G163.22-26.48,52.11903775,23.83754341,3:28:29,+23:50:15.15,False,,,6.3463,-1,-1,,-1,T,,,,23-Feb-16,,unknown,unknown,True,,,,-0.0042,-1.82,,,,
61,1594,PSZ2_G341.09-33.15,302.68887,-56.63664304,20:10:45,-56:38:12,False,,,6.3198,-1,-1,,-1,F,,27-Apr-16,,,,unknown,unknown,False,,,,0.0247,1.15,,,,
62,953,PSZ2_G210.78-36.25,69.02984701,-14.049447500000001,4:36:07,-14:02:58,False,,,6.3181,-1,-1,,-1,F,,,,23-Feb-16,,unknown,unknown,True,,,,-0.003,-0.82,,,,
63,1608,PSZ2_G343.92+22.67,235.35211280000001,-26.36688965,15:41:25,-26:22:01,False,,,6.2051,1193,-1,,-1,T,PSZ1_G343.90+22.66,,,,,unknown,unknown,False,,-0.0043,-0.69,-0.0018,-0.28,1193.0,1608.0,6.205,4.863
64,72,PSZ2_G022.03+17.75,262.1523015,-1.21755335,17:28:37,-1:13:03,False,,,6.2004,56,-1,,-1,F,PSZ1_G021.88+17.75,12-Jul-16,,24-Feb-16,,unknown,unknown,True,,0.0191,2.0,-0.0074,-1.38,56.0,72.0,6.2,5.6370000000000005
65,880,PSZ2_G191.82-26.64,69.65383118,4.700734496,4:38:37,+04:42:02.64,False,,,6.172000000000001,646,-1,,-1,T,PSZ1_G191.78-26.64,,,24-Feb-16,,unknown,unknown,True,,-0.0044,-1.31,-0.0039,-1.13,646.0,880.0,6.172000000000001,4.758
66,717,PSZ2_G146.88+17.13,83.541164,65.72063358,5:34:10,+65:43:14.28,False,,,6.1331,-1,-1,,-1,T,,,,24-Feb-16,,unknown,unknown,True,,,,0.006999999999999999,1.27,,,,
67,1583,PSZ2_G338.52+22.97,230.7418915,-29.2306816,15:22:58,-29:13:50,False,,,6.1074,-1,-1,,-1,T,,15-Apr-16,,,,unknown,unknown,False,,,,-0.0113,-2.85,,,,
68,1574,PSZ2_G337.23-12.59,265.3503124,-54.78109267,17:41:24,-54:46:52,False,,,6.082000000000001,1169,-1,,-1,F,PSZ1_G337.21-12.59,12-Jun-16,,,,unknown,unknown,False,,0.0633,2.48,0.0476,2.06,1169.0,1574.0,6.082000000000001,5.11
69,1581,PSZ2_G338.21+23.46,230.14490469999998,-29.00079718,15:20:35,-29:00:03,False,,,6.079,1175,-1,,-1,T,PSZ1_G338.21+23.46,26-Apr-16,,,,unknown,unknown,False,,0.0004,0.06,0.0014,0.21,1175.0,1581.0,6.079,4.821000000000001
70,1090,PSZ2_G241.41-65.88,39.26295161,-36.13011051,2:37:03,-36:07:48,False,,,6.0733,-1,-1,,-1,T,,,,,,unknown,unknown,True,,,,-0.0029,-0.99,,,,
