#  Table all_wfc_june03.fits[1]  Thu 15:22:31 12-Jun-2003

#      WAVELENGTH           F435W           F475W           F550M           F555W           F606W           F625W           F775W           F814W          F850LP

           3029.5    9.730340E-12              0.    1.810122E-11              0.    1.715418E-10    9.269386E-11              0.              0.              0.
            3030.    9.915223E-12              0.    1.859704E-11              0.    1.746751E-10    9.439743E-11              0.              0.              0.
           3030.5    1.010511E-11              0.    1.910807E-11              0.    1.778916E-10    9.614638E-11              0.              0.              0.
            3031.    1.029578E-11              0.    1.962653E-11              0.    1.811171E-10    9.790060E-11              0.              0.              0.
           3031.5    1.048724E-11              0.    2.015246E-11              0.    1.843516E-10    9.966006E-11              0.              0.              0.
            3032.    1.067949E-11              0.    2.068590E-11              0.    1.875949E-10    1.014247E-10              0.              0.              0.
           3032.5    1.087253E-11              0.    2.122689E-11              0.    1.908471E-10    1.031946E-10              0.              0.              0.
            3033.    1.106636E-11              0.    2.177547E-11              0.    1.941080E-10    1.049696E-10              0.              0.              0.
           3033.5    1.126097E-11              0.    2.233168E-11              0.    1.973777E-10    1.067498E-10              0.              0.              0.
            3034.    1.145636E-11              0.    2.289556E-11              0.    2.006560E-10    1.085350E-10              0.              0.              0.
           3034.5    1.165254E-11              0.    2.346714E-11              0.    2.039430E-10    1.103254E-10              0.              0.              0.
            3035.    1.184950E-11              0.    2.404648E-11              0.    2.072385E-10    1.121208E-10              0.              0.              0.
           3035.5    1.204724E-11              0.    2.463362E-11              0.    2.105426E-10    1.139213E-10              0.              0.              0.
            3036.    1.224576E-11              0.    2.522858E-11              0.    2.138551E-10    1.157268E-10              0.              0.              0.
           3036.5    1.244507E-11              0.    2.583141E-11              0.    2.171761E-10    1.175373E-10              0.              0.              0.
            3037.    1.264515E-11              0.    2.644216E-11              0.    2.205054E-10    1.193527E-10              0.              0.              0.
           3037.5    1.284601E-11              0.    2.706087E-11              0.    2.238431E-10    1.211731E-10              0.              0.              0.
            3038.    1.304765E-11              0.    2.768756E-11              0.    2.271890E-10    1.229985E-10              0.              0.              0.
           3038.5    1.325007E-11              0.    2.832229E-11              0.    2.305432E-10    1.248287E-10              0.              0.              0.
            3039.    1.345326E-11              0.    2.896509E-11              0.    2.339055E-10    1.266638E-10              0.              0.              0.
           3039.5    1.365723E-11              0.    2.961601E-11              0.    2.372759E-10    1.285037E-10              0.              0.              0.
            3040.    1.386197E-11              0.    3.027508E-11              0.    2.406545E-10    1.303485E-10              0.              0.              0.
           3040.5    1.404920E-11              0.    3.090215E-11              0.    2.437238E-10    1.320263E-10              0.              0.              0.
            3041.    1.423677E-11              0.    3.153591E-11              0.    2.467941E-10    1.337049E-10              0.              0.              0.
           3041.5    1.442467E-11              0.    3.217638E-11              0.    2.498652E-10    1.353844E-10              0.              0.              0.
            3042.    1.461290E-11              0.    3.282358E-11              0.    2.529370E-10    1.370647E-10              0.              0.              0.
           3042.5    1.480147E-11              0.    3.347754E-11              0.    2.560095E-10    1.387459E-10              0.              0.              0.
            3043.    1.499036E-11              0.    3.413828E-11              0.    2.590829E-10    1.404279E-10              0.              0.              0.
           3043.5    1.517959E-11              0.    3.480582E-11              0.    2.621569E-10    1.421107E-10              0.              0.              0.
            3044.    1.536915E-11              0.    3.548017E-11              0.    2.652316E-10    1.437943E-10              0.              0.              0.
           3044.5    1.555903E-11              0.    3.616137E-11              0.    2.683069E-10    1.454787E-10              0.              0.              0.
            3045.    1.574925E-11              0.    3.684942E-11              0.    2.713829E-10    1.471638E-10              0.              0.              0.
           3045.5    1.593980E-11              0.    3.754435E-11              0.    2.744595E-10    1.488497E-10              0.              0.              0.
            3046.    1.613068E-11              0.    3.824618E-11              0.    2.775367E-10    1.505364E-10              0.              0.              0.
           3046.5    1.632188E-11              0.    3.895493E-11              0.    2.806144E-10    1.522237E-10              0.              0.              0.
            3047.    1.651342E-11              0.    3.967063E-11              0.    2.836927E-10    1.539119E-10              0.              0.              0.
           3047.5    1.670528E-11              0.    4.039328E-11              0.    2.867715E-10    1.556007E-10              0.              0.              0.
            3048.    1.689746E-11              0.    4.112290E-11              0.    2.898507E-10    1.572902E-10              0.              0.              0.
           3048.5    1.708998E-11              0.    4.185954E-11              0.    2.929304E-10    1.589804E-10              0.              0.              0.
            3049.    1.728282E-11              0.    4.260319E-11              0.    2.960105E-10    1.606713E-10              0.              0.              0.
           3049.5    1.747599E-11              0.    4.335388E-11              0.    2.990911E-10    1.623628E-10              0.              0.              0.
            3050.    1.766948E-11              0.    4.411164E-11              0.    3.021720E-10    1.640550E-10              0.              0.              0.
           3050.5    1.789535E-11              0.    4.495700E-11              0.    3.058009E-10    1.660452E-10              0.              0.              0.
            3051.    1.812214E-11              0.    4.581198E-11              0.    3.094396E-10    1.680412E-10              0.              0.              0.
           3051.5    1.834987E-11              0.    4.667666E-11              0.    3.130881E-10    1.700431E-10              0.              0.              0.
            3052.    1.857852E-11              0.    4.755108E-11              0.    3.167463E-10    1.720507E-10              0.              0.              0.
           3052.5    1.880810E-11              0.    4.843529E-11              0.    3.204141E-10    1.740642E-10              0.              0.              0.
            3053.    1.903860E-11              0.    4.932934E-11              0.    3.240916E-10    1.760833E-10              0.              0.              0.
           3053.5    1.927004E-11              0.    5.023327E-11              0.    3.277786E-10    1.781082E-10              0.              0.              0.
            3054.    1.950239E-11              0.    5.114712E-11              0.    3.314750E-10    1.801388E-10              0.              0.              0.
           3054.5    1.973566E-11              0.    5.207097E-11              0.    3.351808E-10    1.821750E-10              0.              0.              0.
            3055.    1.996986E-11              0.    5.300482E-11              0.    3.388958E-10    1.842167E-10              0.              0.              0.
           3055.5    2.020497E-11              0.    5.394877E-11              0.    3.426202E-10    1.862641E-10              0.              0.              0.
            3056.    2.044101E-11              0.    5.490283E-11              0.    3.463539E-10    1.883171E-10              0.              0.              0.
           3056.5    2.067796E-11              0.    5.586705E-11              0.    3.500966E-10    1.903755E-10              0.              0.              0.
            3057.    2.091582E-11              0.    5.684150E-11              0.    3.538484E-10    1.924395E-10              0.              0.              0.
           3057.5    2.115460E-11              0.    5.782621E-11              0.    3.576093E-10    1.945089E-10              0.              0.              0.
            3058.    2.139430E-11              0.    5.882125E-11              0.    3.613790E-10    1.965837E-10              0.              0.              0.
           3058.5    2.163490E-11              0.    5.982664E-11              0.    3.651576E-10    1.986640E-10              0.              0.              0.
            3059.    2.187642E-11              0.    6.084242E-11              0.    3.689451E-10    2.007496E-10              0.              0.              0.
           3059.5    2.211885E-11              0.    6.186869E-11              0.    3.727414E-10    2.028405E-10              0.              0.              0.
            3060.    2.236218E-11              0.    6.290544E-11              0.    3.765463E-10    2.049368E-10              0.              0.              0.
           3060.5    2.256991E-11              0.    6.384948E-11              0.    3.797456E-10    2.067039E-10              0.              0.              0.
            3061.    2.277798E-11              0.    6.480132E-11              0.    3.829448E-10    2.084716E-10              0.              0.              0.
           3061.5    2.298638E-11              0.    6.576098E-11              0.    3.861439E-10    2.102395E-10              0.              0.              0.
            3062.    2.319510E-11              0.    6.672849E-11              0.    3.893427E-10    2.120080E-10              0.              0.              0.
           3062.5    2.340416E-11              0.    6.770384E-11              0.    3.925413E-10    2.137768E-10              0.              0.              0.
            3063.    2.361354E-11              0.    6.868709E-11              0.    3.957397E-10    2.155459E-10              0.              0.              0.
           3063.5    2.382325E-11              0.    6.967824E-11              0.    3.989378E-10    2.173154E-10              0.              0.              0.
            3064.    2.403330E-11              0.    7.067733E-11              0.    4.021357E-10    2.190853E-10              0.              0.              0.
           3064.5    2.424366E-11              0.    7.168434E-11              0.    4.053331E-10    2.208555E-10              0.              0.              0.
            3065.    2.445436E-11              0.    7.269934E-11              0.    4.085303E-10    2.226260E-10              0.              0.              0.
           3065.5    2.466537E-11              0.    7.372232E-11              0.    4.117270E-10    2.243968E-10              0.              0.              0.
            3066.    2.487672E-11              0.    7.475332E-11              0.    4.149233E-10    2.261679E-10              0.              0.              0.
           3066.5    2.508839E-11              0.    7.579234E-11              0.    4.181193E-10    2.279392E-10              0.              0.              0.
            3067.    2.530038E-11              0.    7.683941E-11              0.    4.213147E-10    2.297108E-10              0.              0.              0.
           3067.5    2.551270E-11              0.    7.789457E-11              0.    4.245096E-10    2.314827E-10              0.              0.              0.
            3068.    2.572534E-11              0.    7.895781E-11              0.    4.277040E-10    2.332548E-10              0.              0.              0.
           3068.5    2.593831E-11              0.    8.002916E-11              0.    4.308979E-10    2.350271E-10              0.              0.              0.
            3069.    2.615159E-11              0.    8.110866E-11              0.    4.340912E-10    2.367997E-10              0.              0.              0.
           3069.5    2.636520E-11              0.    8.219631E-11              0.    4.372839E-10    2.385724E-10              0.              0.              0.
            3070.    2.657912E-11              0.    8.329213E-11              0.    4.404759E-10    2.403453E-10              0.              0.              0.
           3070.5    2.674273E-11              0.    8.423664E-11              0.    4.428287E-10    2.416607E-10              0.              0.              0.
            3071.    2.690598E-11              0.    8.518559E-11              0.    4.451710E-10    2.429708E-10              0.              0.              0.
           3071.5    2.706887E-11              0.    8.613895E-11              0.    4.475026E-10    2.442756E-10              0.              0.              0.
            3072.    2.723140E-11              0.    8.709673E-11              0.    4.498239E-10    2.455750E-10              0.              0.              0.
           3072.5    2.739357E-11              0.    8.805889E-11              0.    4.521345E-10    2.468690E-10              0.              0.              0.
            3073.    2.755539E-11              0.    8.902547E-11              0.    4.544346E-10    2.481577E-10              0.              0.              0.
           3073.5    2.771684E-11              0.    8.999641E-11              0.    4.567242E-10    2.494411E-10              0.              0.              0.
            3074.    2.787794E-11              0.    9.097171E-11              0.    4.590033E-10    2.507192E-10              0.              0.              0.
           3074.5    2.803868E-11              0.    9.195138E-11              0.    4.612720E-10    2.519920E-10              0.              0.              0.
            3075.    2.819906E-11              0.    9.293536E-11              0.    4.635301E-10    2.532594E-10              0.              0.              0.
           3075.5    2.835909E-11              0.    9.392371E-11              0.    4.657780E-10    2.545215E-10              0.              0.              0.
            3076.    2.851875E-11              0.    9.491637E-11              0.    4.680153E-10    2.557784E-10              0.              0.              0.
           3076.5    2.867807E-11              0.    9.591332E-11              0.    4.702422E-10    2.570300E-10              0.              0.              0.
            3077.    2.883702E-11              0.    9.691459E-11              0.    4.724586E-10    2.582763E-10              0.              0.              0.
           3077.5    2.899562E-11              0.    9.792015E-11              0.    4.746648E-10    2.595173E-10              0.              0.              0.
            3078.    2.915386E-11              0.    9.892998E-11              0.    4.768605E-10    2.607530E-10              0.              0.              0.
           3078.5    2.931176E-11              0.    9.994409E-11              0.    4.790460E-10    2.619835E-10              0.              0.              0.
            3079.    2.946929E-11              0.    1.009624E-10              0.    4.812210E-10    2.632088E-10              0.              0.              0.
           3079.5    2.962647E-11              0.    1.019850E-10              0.    4.833857E-10    2.644288E-10              0.              0.              0.
            3080.    2.978329E-11              0.    1.030119E-10              0.    4.855402E-10    2.656436E-10              0.              0.              0.
           3080.5    2.988874E-11              0.    1.038656E-10              0.    4.868533E-10    2.663984E-10              0.              0.              0.
            3081.    2.999324E-11              0.    1.047198E-10              0.    4.881477E-10    2.671433E-10              0.              0.              0.
           3081.5    3.009679E-11              0.    1.055745E-10              0.    4.894235E-10    2.678783E-10              0.              0.              0.
            3082.    3.019937E-11              0.    1.064294E-10              0.    4.906807E-10    2.686033E-10              0.              0.              0.
           3082.5    3.030100E-11              0.    1.072847E-10              0.    4.919191E-10    2.693184E-10              0.              0.              0.
            3083.    3.040168E-11              0.    1.081402E-10              0.    4.931391E-10    2.700237E-10              0.              0.              0.
           3083.5    3.050139E-11              0.    1.089959E-10              0.    4.943406E-10    2.707191E-10              0.              0.              0.
            3084.    3.060016E-11              0.    1.098519E-10              0.    4.955237E-10    2.714046E-10              0.              0.              0.
           3084.5    3.069798E-11              0.    1.107080E-10              0.    4.966885E-10    2.720805E-10              0.              0.              0.
            3085.    3.079484E-11              0.    1.115642E-10              0.    4.978348E-10    2.727465E-10              0.              0.              0.
           3085.5    3.089075E-11              0.    1.124205E-10              0.    4.989629E-10    2.734027E-10              0.              0.              0.
            3086.    3.098572E-11              0.    1.132768E-10              0.    5.000729E-10    2.740493E-10              0.              0.              0.
           3086.5    3.107973E-11              0.    1.141331E-10              0.    5.011646E-10    2.746861E-10              0.              0.              0.
            3087.    3.117280E-11              0.    1.149893E-10              0.    5.022381E-10    2.753133E-10              0.              0.              0.
           3087.5    3.126492E-11              0.    1.158455E-10              0.    5.032936E-10    2.759307E-10              0.              0.              0.
            3088.    3.135609E-11              0.    1.167014E-10              0.    5.043309E-10    2.765385E-10              0.              0.              0.
           3088.5    3.144632E-11              0.    1.175573E-10              0.    5.053504E-10    2.771368E-10              0.              0.              0.
            3089.    3.153560E-11              0.    1.184129E-10              0.    5.063520E-10    2.777255E-10              0.              0.              0.
           3089.5    3.162394E-11              0.    1.192683E-10              0.    5.073356E-10    2.783046E-10              0.              0.              0.
            3090.    3.171133E-11              0.    1.201233E-10              0.    5.083013E-10    2.788742E-10              0.              0.              0.
           3090.5    3.174046E-11              0.    1.207600E-10              0.    5.083313E-10    2.789304E-10              0.              0.              0.
            3091.    3.176808E-11              0.    1.213921E-10              0.    5.083359E-10    2.789730E-10              0.              0.              0.
           3091.5    3.179418E-11              0.    1.220198E-10              0.    5.083152E-10    2.790016E-10              0.              0.              0.
            3092.    3.181876E-11              0.    1.226428E-10              0.    5.082694E-10    2.790166E-10              0.              0.              0.
           3092.5    3.184184E-11              0.    1.232611E-10              0.    5.081984E-10    2.790179E-10              0.              0.              0.
            3093.    3.186340E-11              0.    1.238747E-10              0.    5.081024E-10    2.790055E-10              0.              0.              0.
           3093.5    3.188346E-11              0.    1.244834E-10              0.    5.079816E-10    2.789796E-10              0.              0.              0.
            3094.    3.190202E-11              0.    1.250874E-10              0.    5.078361E-10    2.789401E-10              0.              0.              0.
           3094.5    3.191907E-11              0.    1.256863E-10              0.    5.076658E-10    2.788872E-10              0.              0.              0.
            3095.    3.193463E-11              0.    1.262803E-10              0.    5.074708E-10    2.788207E-10              0.              0.              0.
           3095.5    3.194867E-11              0.    1.268691E-10              0.    5.072512E-10    2.787408E-10              0.              0.              0.
            3096.    3.196123E-11              0.    1.274528E-10              0.    5.070072E-10    2.786476E-10              0.              0.              0.
           3096.5    3.197228E-11              0.    1.280313E-10              0.    5.067389E-10    2.785410E-10              0.              0.              0.
            3097.    3.198183E-11              0.    1.286045E-10              0.    5.064462E-10    2.784211E-10              0.              0.              0.
           3097.5    3.198990E-11              0.    1.291724E-10              0.    5.061294E-10    2.782880E-10              0.              0.              0.
            3098.    3.199648E-11              0.    1.297348E-10              0.    5.057885E-10    2.781416E-10              0.              0.              0.
           3098.5    3.200156E-11              0.    1.302918E-10              0.    5.054236E-10    2.779822E-10              0.              0.              0.
            3099.    3.200516E-11              0.    1.308432E-10              0.    5.050347E-10    2.778096E-10              0.              0.              0.
           3099.5    3.200728E-11              0.    1.313890E-10              0.    5.046221E-10    2.776239E-10              0.              0.              0.
            3100.    3.200791E-11              0.    1.319291E-10              0.    5.041857E-10    2.774252E-10              0.              0.              0.
           3100.5    3.195814E-11              0.    1.322610E-10              0.    5.029560E-10    2.767899E-10              0.              0.              0.
            3101.    3.190648E-11              0.    1.325838E-10              0.    5.016975E-10    2.761387E-10              0.              0.              0.
           3101.5    3.185293E-11              0.    1.328973E-10              0.    5.004103E-10    2.754717E-10              0.              0.              0.
            3102.    3.179749E-11              0.    1.332014E-10              0.    4.990948E-10    2.747889E-10              0.              0.              0.
           3102.5    3.174016E-11              0.    1.334961E-10              0.    4.977510E-10    2.740904E-10              0.              0.              0.
            3103.    3.168096E-11              0.    1.337813E-10              0.    4.963789E-10    2.733762E-10              0.              0.              0.
           3103.5    3.161987E-11              0.    1.340568E-10              0.    4.949788E-10    2.726465E-10              0.              0.              0.
            3104.    3.155690E-11              0.    1.343227E-10              0.    4.935508E-10    2.719012E-10              0.              0.              0.
           3104.5    3.149206E-11              0.    1.345788E-10              0.    4.920949E-10    2.711404E-10              0.              0.              0.
            3105.    3.142535E-11              0.    1.348250E-10              0.    4.906113E-10    2.703643E-10              0.              0.              0.
           3105.5    3.135677E-11              0.    1.350613E-10              0.    4.891002E-10    2.695728E-10              0.              0.              0.
            3106.    3.128632E-11              0.    1.352875E-10              0.    4.875615E-10    2.687660E-10              0.              0.              0.
           3106.5    3.121402E-11              0.    1.355037E-10              0.    4.859957E-10    2.679440E-10              0.              0.              0.
            3107.    3.113985E-11              0.    1.357096E-10              0.    4.844026E-10    2.671068E-10              0.              0.              0.
           3107.5    3.106383E-11              0.    1.359053E-10              0.    4.827825E-10    2.662546E-10              0.              0.              0.
            3108.    3.098594E-11              0.    1.360906E-10              0.    4.811353E-10    2.653872E-10              0.              0.              0.
           3108.5    3.090621E-11              0.    1.362654E-10              0.    4.794613E-10    2.645049E-10              0.              0.              0.
            3109.    3.082462E-11              0.    1.364297E-10              0.    4.777607E-10    2.636077E-10              0.              0.              0.
           3109.5    3.074120E-11              0.    1.365833E-10              0.    4.760334E-10    2.626957E-10              0.              0.              0.
            3110.    3.065593E-11              0.    1.367263E-10              0.    4.742797E-10    2.617688E-10              0.              0.              0.
           3110.5    3.052189E-11              0.    1.366484E-10              0.    4.717743E-10    2.604268E-10              0.              0.              0.
            3111.    3.038561E-11              0.    1.365561E-10              0.    4.692378E-10    2.590674E-10              0.              0.              0.
           3111.5    3.024709E-11              0.    1.364495E-10              0.    4.666704E-10    2.576904E-10              0.              0.              0.
            3112.    3.010635E-11              0.    1.363285E-10              0.    4.640723E-10    2.562962E-10              0.              0.              0.
           3112.5    2.996338E-11              0.    1.361928E-10              0.    4.614436E-10    2.548847E-10              0.              0.              0.
            3113.    2.981817E-11              0.    1.360425E-10              0.    4.587843E-10    2.534560E-10              0.              0.              0.
           3113.5    2.967075E-11              0.    1.358773E-10              0.    4.560947E-10    2.520102E-10              0.              0.              0.
            3114.    2.952111E-11              0.    1.356973E-10              0.    4.533750E-10    2.505474E-10              0.              0.              0.
           3114.5    2.936925E-11              0.    1.355022E-10              0.    4.506252E-10    2.490675E-10              0.              0.              0.
            3115.    2.921519E-11              0.    1.352921E-10              0.    4.478455E-10    2.475707E-10              0.              0.              0.
           3115.5    2.905890E-11              0.    1.350667E-10              0.    4.450361E-10    2.460571E-10              0.              0.              0.
            3116.    2.890041E-11              0.    1.348260E-10              0.    4.421971E-10    2.445268E-10              0.              0.              0.
           3116.5    2.873972E-11              0.    1.345699E-10              0.    4.393287E-10    2.429797E-10              0.              0.              0.
            3117.    2.857683E-11              0.    1.342982E-10              0.    4.364309E-10    2.414161E-10              0.              0.              0.
           3117.5    2.841174E-11              0.    1.340109E-10              0.    4.335039E-10    2.398358E-10              0.              0.              0.
            3118.    2.824446E-11              0.    1.337079E-10              0.    4.305480E-10    2.382392E-10              0.              0.              0.
           3118.5    2.807498E-11              0.    1.333891E-10              0.    4.275632E-10    2.366261E-10              0.              0.              0.
            3119.    2.790333E-11              0.    1.330543E-10              0.    4.245498E-10    2.349966E-10              0.              0.              0.
           3119.5    2.772947E-11              0.    1.327034E-10              0.    4.215077E-10    2.333509E-10              0.              0.              0.
            3120.    2.755345E-11              0.    1.323365E-10              0.    4.184371E-10    2.316890E-10              0.              0.              0.
           3120.5    2.736945E-11              0.    1.319253E-10              0.    4.152506E-10    2.299624E-10              0.              0.              0.
            3121.    2.718323E-11              0.    1.314974E-10              0.    4.120354E-10    2.282194E-10              0.              0.              0.
           3121.5    2.699479E-11              0.    1.310525E-10              0.    4.087913E-10    2.264600E-10              0.              0.              0.
            3122.    2.680412E-11              0.    1.305906E-10              0.    4.055190E-10    2.246844E-10              0.              0.              0.
           3122.5    2.661123E-11              0.    1.301116E-10              0.    4.022182E-10    2.228925E-10              0.              0.              0.
            3123.    2.641613E-11              0.    1.296153E-10              0.    3.988892E-10    2.210845E-10              0.              0.              0.
           3123.5    2.621881E-11              0.    1.291017E-10              0.    3.955323E-10    2.192604E-10              0.              0.              0.
            3124.    2.601927E-11              0.    1.285707E-10              0.    3.921474E-10    2.174204E-10              0.              0.              0.
           3124.5    2.581753E-11              0.    1.280220E-10              0.    3.887347E-10    2.155644E-10              0.              0.              0.
            3125.    2.561359E-11              0.    1.274557E-10              0.    3.852945E-10    2.136926E-10              0.              0.              0.
           3125.5    2.540745E-11              0.    1.268716E-10              0.    3.818268E-10    2.118050E-10              0.              0.              0.
            3126.    2.519910E-11              0.    1.262696E-10              0.    3.783319E-10    2.099017E-10              0.              0.              0.
           3126.5    2.498856E-11              0.    1.256496E-10              0.    3.748096E-10    2.079827E-10              0.              0.              0.
            3127.    2.477583E-11              0.    1.250116E-10              0.    3.712604E-10    2.060482E-10              0.              0.              0.
           3127.5    2.456091E-11              0.    1.243553E-10              0.    3.676844E-10    2.040982E-10              0.              0.              0.
            3128.    2.434380E-11              0.    1.236807E-10              0.    3.640817E-10    2.021328E-10              0.              0.              0.
           3128.5    2.412451E-11              0.    1.229877E-10              0.    3.604523E-10    2.001520E-10              0.              0.              0.
            3129.    2.390304E-11              0.    1.222761E-10              0.    3.567965E-10    1.981559E-10              0.              0.              0.
           3129.5    2.367938E-11              0.    1.215460E-10              0.    3.531145E-10    1.961447E-10              0.              0.              0.
            3130.    2.345356E-11              0.    1.207971E-10              0.    3.494063E-10    1.941183E-10              0.              0.              0.
           3130.5    2.324776E-11              0.    1.201440E-10              0.    3.460024E-10    1.922604E-10              0.              0.              0.
            3131.    2.303999E-11              0.    1.194739E-10              0.    3.425750E-10    1.903888E-10              0.              0.              0.
