objid,ramean,decmean,gmeanpsfmag,gmeanpsfmagerr,rmeanpsfmag,rmeanpsfmagerr,imeanpsfmag,imeanpsfmagerr,imeankronmag,zmeanpsfmag,zmeanpsfmagerr,ymeanpsfmag,ymeanpsfmagerr,gmeanpsfmagnpt,rmeanpsfmagnpt,imeanpsfmagnpt,zmeanpsfmagnpt,gflags,gqfperfect,rflags,rqfperfect,iflags,iqfperfect,zflags,zqfperfect
81550450717004129,45.07172503,-22.03854457,19.6667995452881,0.0263899993151426,18.4976005554199,0.0342539995908737,18.2028007507324,0.0101469997316599,17.3386993408203,17.8978996276855,0.0237620007246733,17.7553997039795,0.0390909984707832,7,11,21,6,16892216,0.999624013900757,16892216,0.999584972858429,16892216,0.999673008918762,16892216,0.998934984207153
81550450395792097,45.03956122,-22.04021717,21.4055995941162,0.044463999569416,20.0265007019043,0.0713199973106384,19.6709003448486,0.0222040005028248,18.8185997009277,19.2446994781494,0.0433450005948544,19.1550006866455,0.0628319978713989,7,10,22,11,16892216,0.999352991580963,16892216,0.999364018440247,16892216,0.999783992767334,16892216,0.999520003795624
81520450435878310,45.04354083,-22.06006865,22.096399307251,0.051621999591589,21.6462993621826,0.0795169994235039,21.4778003692627,0.207008004188538,20.8078002929688,21.2054004669189,0.113499000668526,-999,-999,2,3,4,2,16696,0.992765009403229,16892216,0.99915999174118,115000,0.999002993106842,115000,0.997797012329102
81460450705825068,45.0704936,-22.11268402,21.4071006774902,0.0956429988145828,20.6742992401123,0.0710199996829033,20.2773990631104,0.0168360006064177,19.7359008789063,20.0279006958008,0.0502820014953613,19.8243999481201,0.0508229993283749,4,9,20,12,16892216,0.99951297044754,16892216,0.999211013317108,16892216,0.999128997325897,16892216,0.999194025993347
81460450698173394,45.06980851,-22.11413796,21.2800998687744,0.062100000679493,20.3099994659424,0.0519649982452393,19.8936004638672,0.0272620003670454,19.2717990875244,19.5683002471924,0.0632440000772476,19.3721008300781,0.0766929984092712,7,12,26,14,16892216,0.999617993831635,16892216,0.999202013015747,16892216,0.999671995639801,16892216,0.999361991882324
81450450765597857,45.07661757,-22.11873568,22.0233001708984,0.168800994753838,21.4472007751465,0.0788469985127449,21.3605995178223,0.0477840006351471,20.6277008056641,20.6329002380371,0.192173004150391,-999,-999,1,10,11,1,16892216,0.998480021953583,16892216,0.999342978000641,16892216,0.999073028564453,115000,0.99704498052597
81450450748113286,45.07482727,-22.12253294,19.3812007904053,0.0490580014884472,18.7441997528076,0.0878800004720688,18.3367004394531,0.0160990003496408,16.5223007202148,17.914400100708,0.0881479978561401,17.8710994720459,0.0320940017700195,10,6,18,14,16892216,0.999498009681702,16892216,0.999253988265991,16892216,0.999423980712891,16892216,0.999315977096558
81460450907216236,45.09082931,-22.1117999,21.169900894165,0.0299449991434813,21.0653991699219,0.0120099997147918,20.323600769043,0.0468069985508919,19.2677001953125,20.2978000640869,0.0790729969739914,19.7537002563477,0.126118004322052,2,4,10,6,16892216,0.998920023441315,16892216,0.999639987945557,16892216,0.99906998872757,16892216,0.999315977096558
81480450482981602,45.04826228,-22.09902367,21.970100402832,0.114492997527123,21.3894004821777,0.0768650025129318,20.9778003692627,0.0313079990446568,20.4302997589111,20.5648994445801,0.0985379964113235,-999,-999,2,2,22,11,115000,0.999547004699707,115000,0.999190986156464,16892216,0.999714970588684,16892216,0.999113976955414
81480450794774056,45.07950835,-22.09694323,21.6732006072998,0.0813340023159981,20.9958000183105,0.106771998107433,20.9841995239258,0.0355659984052181,20.0400009155273,20.9529991149902,0.175042003393173,-999,-999,5,11,19,4,16892216,0.999176025390625,16892216,0.99957799911499,16892216,0.999683022499084,16892216,0.99923300743103
81460450683946830,45.06841298,-22.11128642,19.5552997589111,0.0769990012049675,18.6299991607666,0.0464290007948875,18.2276992797852,0.0201479997485876,17.6653003692627,17.9890995025635,0.0510669983923435,17.8285999298096,0.0403990000486374,5,8,22,13,16892216,0.999150991439819,16892216,0.999297976493835,16892216,0.999673008918762,16892216,0.999388992786407
81550451206772185,45.12079687,-22.04015676,21.5548000335693,0.0766090005636215,20.2348003387451,0.0553059987723827,19.8843994140625,0.0222500003874302,19.1376991271973,19.5228004455566,0.0422319993376732,19.3974990844727,0.0712329968810081,10,9,33,9,16892216,0.999679028987885,16892216,0.999195992946625,16892216,0.999759018421173,16892216,0.99973201751709
81500450961907707,45.09624857,-22.07716388,20.2357006072998,0.0612079985439777,19.80419921875,0.10598199814558,19.7383995056152,0.0323759987950325,18.028299331665,19.6179008483887,0.0565260015428066,19.4064998626709,0.186893999576569,8,14,29,10,16892216,0.999471008777618,16892216,0.999656021595001,16892216,0.999668002128601,16892216,0.999804973602295
