objid,ramean,decmean,gmeanpsfmag,gmeanpsfmagerr,rmeanpsfmag,rmeanpsfmagerr,imeanpsfmag,imeanpsfmagerr,imeankronmag,zmeanpsfmag,zmeanpsfmagerr,ymeanpsfmag,ymeanpsfmagerr,gmeanpsfmagnpt,rmeanpsfmagnpt,imeanpsfmagnpt,zmeanpsfmagnpt,gflags,gqfperfect,rflags,rqfperfect,iflags,iqfperfect,zflags,zqfperfect
82971027290127909,102.72902132,-20.85200674,20.0694007873535,0.0361890010535717,19.2056999206543,0.0106359999626875,18.4484004974365,0.00715500023216009,17.88450050354,18.1987991333008,0.0329499989748001,17.9246006011963,0.0321069993078709,4,5,11,10,16892216,0.999288022518158,16892216,0.9983029961586,16892216,0.99966299533844,16892216,0.999684989452362
82891026718799334,102.67192084,-20.91736872,21.586799621582,0.153461992740631,21.2600002288818,0.039537999778986,20.6529006958008,0.0335320010781288,20.0293006896973,20.206600189209,0.0484139993786812,-999,-999,1,5,12,4,280,0.998746991157532,16777496,0.99924498796463,16777496,0.999611020088196,16777496,0.999056994915009
82861027047878371,102.70480296,-20.94329772,19.6760005950928,0.0646390020847321,19.0450992584229,0.0470830015838146,18.2992000579834,0.0145969996228814,17.4410991668701,18.015100479126,0.00699699996039271,17.8190994262695,0.0149720003828406,6,5,12,6,16892216,0.999704003334045,16892216,0.998993992805481,16892216,0.999661982059479,16892216,0.999637007713318
82911027161495386,102.71613375,-20.90411728,18.8719005584717,0.0349240005016327,18.9873008728027,0.0203920006752014,18.9479999542236,0.0265229996293783,17.1648006439209,18.9652004241943,0.0215629991143942,18.574800491333,0.0227610003203154,2,3,8,12,16892216,0.999641001224518,16892216,0.99958997964859,16892216,0.999077022075653,115000,0.999638974666595
82901027118221401,102.71189258,-20.91582418,19.2852001190186,0.0470619983971119,19.2437992095947,0.0374509990215302,19.1042003631592,0.0196790006011724,18.1490001678467,19.0207004547119,0.0116600003093481,18.7723999023438,0.0308769997209311,4,5,8,5,16892216,0.999467015266418,16892216,0.999235987663269,115000,0.999660015106201,16892216,0.999727010726929
82871026781301109,102.67813391,-20.94100808,18.6368999481201,0.0562950000166893,18.305700302124,0.00743700005114079,17.9141006469727,0.00656800018623471,16.3502998352051,17.8320999145508,0.0119200004264712,17.5533008575439,0.0363800004124641,2,6,12,10,115000,0.999162971973419,16892216,0.99966299533844,16892216,0.999709010124207,115000,0.999714016914368
82871026854073955,102.68540476,-20.93863456,19.8104000091553,0.00698899989947677,19.5139999389648,0.0242839995771647,19.138500213623,0.0142649998888373,-999,19.1403999328613,0.0291850008070469,18.7789993286133,0.0657910034060478,2,5,9,6,115000,0.990881025791168,16892216,0.998597979545593,16892216,0.99923300743103,115000,0.999282002449036
82851027814624608,102.78140411,-20.95478973,21.656400680542,0.184054002165794,20.8202991485596,0.0594279989600182,20.0737991333008,0.0164810009300709,19.4997005462646,19.7684001922607,0.0380950011312962,19.2670993804932,0.0644470006227493,1,10,17,13,115000,0.998579025268555,16892216,0.99907398223877,16892216,0.999608993530273,16892216,0.999709010124207
82911027255150419,102.7255167,-20.90824473,17.6618003845215,0.0162439998239279,17.7844009399414,0.0138649996370077,17.661600112915,0.00852399971336126,-999,17.6422996520996,0.0063999998383224,17.3705997467041,0.0260019991546869,5,4,6,9,16892216,0.999130010604858,16892216,0.998938024044037,16892216,0.999653995037079,115000,0.999795973300934
82921027360977063,102.73605597,-20.89444732,19.1366996765137,0,18.4451999664307,0.0113490000367165,18.3668994903564,0.0211970005184412,17.7893009185791,18.1250991821289,0.024787999689579,18.0268993377686,0.0111999996006489,1,4,3,2,115000,0.99889999628067,16793912,0.999191999435425,16793912,0.999592006206512,16696,0.998257994651794
82681025404794698,102.54048029,-21.09633365,20.0727005004883,0.18138399720192,18.9671001434326,0.042178001254797,18.8097991943359,0.0134410001337528,18.1690998077393,18.6313991546631,0.014657000079751,18.1961994171143,0.1241490021348,2,2,13,8,115000,0.999652981758118,115000,0.998827993869781,16892216,0.999610006809235,115000,0.998668015003204
82701025009146760,102.50092215,-21.0779572,21.3055992126465,0.165749996900558,21.5659008026123,0.104272000491619,21.1613006591797,0.048370998352766,20.2870998382568,20.7096004486084,0.226150006055832,-999,-999,1,3,6,2,16793912,0.999516010284424,115000,0.998916983604431,16892216,0.999146997928619,16892216,0.99864798784256
82701025133834691,102.51337359,-21.07967841,20.8924999237061,0.0469449982047081,20.3838005065918,0.0214499998837709,19.785400390625,0.0223260000348091,18.6777992248535,19.6613006591797,0.0263720005750656,-999,-999,2,2,11,4,16892216,0.998929977416992,16892216,0.999122023582459,16892216,0.999535977840424,115000,0.998528003692627
