objid,ramean,decmean,gmeanpsfmag,gmeanpsfmagerr,rmeanpsfmag,rmeanpsfmagerr,imeanpsfmag,imeanpsfmagerr,imeankronmag,zmeanpsfmag,zmeanpsfmagerr,ymeanpsfmag,ymeanpsfmagerr,gmeanpsfmagnpt,rmeanpsfmagnpt,imeanpsfmagnpt,zmeanpsfmagnpt,gflags,gqfperfect,rflags,rqfperfect,iflags,iqfperfect,zflags,zqfperfect
115163373002454050,337.30027975,5.96968737,21.9489994049072,0.0886550024151802,21.0552997589111,0.0617769993841648,20.471700668335,0.0317340008914471,19.7723999023438,20.0937995910645,0.0446159988641739,19.7936000823975,0.14970700442791,7,13,29,11,16892216,0.999130010604858,16892216,0.999831020832062,16892216,0.999351978302002,16892216,0.999683022499084
115183372336870949,337.23372304,5.98375746,19.3673992156982,0.00868200045078993,18.5126991271973,0.0493079982697964,17.9374008178711,0.0300670005381107,17.2851009368896,17.6214008331299,0.0171980001032352,17.640100479126,0.023870000615716,7,10,26,9,16892216,0.99941498041153,16892216,0.999478995800018,16892216,0.999852001667023,16892216,0.999738991260529
115183372493518840,337.24938605,5.99035709,21.2721004486084,0.188464000821114,20.6937999725342,0.0964590013027191,19.8875999450684,0.0603309981524944,19.1350002288818,19.5196990966797,0.0724740028381348,19.593599319458,0.126375004649162,1,10,26,8,16892216,0.99959397315979,16892216,0.999486029148102,16892216,0.999763011932373,16892216,0.999296009540558
115113372587835145,337.25880142,5.92891523,20.0750999450684,0.0379210002720356,19.5604000091553,0.0677239969372749,18.8882999420166,0.0387590005993843,18.1858997344971,18.710599899292,0.0476850010454655,18.4414005279541,0.0833680033683777,11,11,22,5,16892216,0.999545991420746,16892216,0.999686002731323,16892216,0.999173998832703,16892216,0.998857021331787
115143372398590875,337.23990057,5.95036626,20.4095001220703,0.0358100011944771,19.4524993896484,0.0479490011930466,18.8131008148193,0.0449759997427464,18.1926002502441,18.4881000518799,0.0328169986605644,18.3920993804932,0.0335329994559288,12,11,24,8,16892216,0.99915599822998,16892216,0.998715996742249,16892216,0.999556005001068,16892216,0.999028980731964
115153372591655336,337.25917358,5.9624184,20.9440002441406,0.0636060014367104,20.702299118042,0.0829539969563484,19.548900604248,0.0672409981489182,18.880199432373,19.5576000213623,0,19.2049999237061,0.215131998062134,10,4,19,1,16892216,0.999845027923584,16892216,0.999010980129242,16892216,0.999334990978241,16892216,0.998948991298676
115153372595514444,337.25959625,5.96169895,21.11669921875,0.0599519982933998,20.0580997467041,0.100313998758793,19.2714996337891,0.0498059988021851,18.6627998352051,18.9708995819092,0.0228870008140802,18.9090003967285,0.045134998857975,7,9,24,8,16892216,0.999242007732391,16892216,0.999810993671417,16892216,0.999669015407562,16892216,0.999557971954346
115143372666829889,337.26674889,5.95774052,22.1067008972168,0.0931480005383492,21.8171997070313,0.0656369999051094,21.2150001525879,0.0678590014576912,20.4745998382568,20.9235992431641,0.190993994474411,-999,-999,2,8,19,2,16892216,0.999045014381409,16892216,0.999320983886719,16892216,0.999612987041473,115000,0.997775971889496
115153372735707457,337.27363496,5.96428838,22.3213996887207,0.0391069985926151,21.6655006408691,0.101127997040749,21.2954006195068,0.0784889981150627,20.6627998352051,20.7486000061035,0.180233001708984,-999,-999,2,7,15,1,115000,0.99838399887085,16892216,0.999513983726501,16892216,0.999176025390625,16892216,0.998790979385376
115193371343609799,337.13439779,5.99944482,20.7248001098633,0.0656189993023872,19.6294002532959,0.0713279992341995,19.4174995422363,0.0178040005266666,17.8934001922607,18.9139995574951,0.0172160007059574,18.9536991119385,0.0314170010387897,8,12,20,10,16892216,0.999502003192902,16892216,0.999794006347656,16892216,0.999818027019501,16892216,0.99947601556778
115193371451249405,337.14528316,5.9991002,21.7376003265381,0.0685750022530556,21.5834999084473,0.109705999493599,21.0816993713379,0.0339290015399456,20.3444995880127,20.7404003143311,0.121209003031254,-999,-999,3,14,28,3,16892216,0.998484015464783,16892216,0.999427020549774,16892216,0.999572992324829,16892216,0.999145984649658
115153371907959290,337.19082792,5.96572001,20.9491996765137,0.0327389985322952,19.5702991485596,0.04364899918437,19.1299991607666,0.024932999163866,18.4435005187988,18.7399997711182,0.0246510002762079,18.6331005096436,0.035121001303196,12,5,29,9,16892216,0.999677002429962,16892216,0.999814987182617,16892216,0.999485015869141,16892216,0.999534010887146
