objid,ramean,decmean,gmeanpsfmag,gmeanpsfmagerr,rmeanpsfmag,rmeanpsfmagerr,imeanpsfmag,imeanpsfmagerr,imeankronmag,zmeanpsfmag,zmeanpsfmagerr,ymeanpsfmag,ymeanpsfmagerr,gmeanpsfmagnpt,rmeanpsfmagnpt,imeanpsfmagnpt,zmeanpsfmagnpt,gflags,gqfperfect,rflags,rqfperfect,iflags,iqfperfect,zflags,zqfperfect
173992160626187390,216.06256098,54.99717625,20.2513999938965,0.0276740007102489,19.8122005462646,0.0275289993733168,19.3453006744385,0.050916999578476,18.7569007873535,19.1193008422852,0.0254239998757839,19.059700012207,0.0930410027503967,11,10,15,16,16892216,0.999689996242523,16892216,0.999405980110168,16892216,0.999180972576141,16892216,0.999207019805908
174032160474312054,216.04736666,55.02615525,21.6625003814697,0.0874119997024536,20.3945007324219,0.101448997855186,19.8442001342773,0.0427850000560284,19.1746997833252,19.6779003143311,0.0368440002202988,19.6175994873047,0.0799430012702942,8,12,7,14,16892216,0.999180018901825,16892216,0.999211013317108,16892216,0.999487996101379,16892216,0.999638020992279
174022160625691424,216.06252947,55.01724131,21.9570007324219,0.173124998807907,21.7658996582031,0.0303230006247759,21.4295997619629,0.154416993260384,20.8372993469238,21.1093006134033,0.246064007282257,-999,-999,1,3,6,2,115000,0.999028027057648,115000,0.999154984951019,16892216,0.998582005500793,115000,0.997888028621674
174012159794898150,215.97963966,55.01457898,21.5060005187988,0.189742997288704,21.097900390625,0.0707449987530708,21.2019996643066,0.160610005259514,20.2602996826172,20.5699996948242,0.166044995188713,-999,-999,4,10,6,4,16892216,0.999680995941162,16892216,0.999759018421173,16892216,0.999204993247986,16892216,0.999173998832703
174012160311278389,216.03103502,55.01471114,20.5447998046875,0.032965999096632,20.5706005096436,0.092740997672081,20.2224998474121,0.0212559998035431,19.0512008666992,20.36669921875,0.117804996669292,-999,-999,2,7,7,7,16777496,0.999050974845886,16777496,0.999595999717712,16777496,0.999215006828308,16777496,0.999228000640869
174012160305008351,216.03092493,55.01468913,20.7633991241455,0.0667930021882057,20.6648998260498,0.102537997066975,20.4244995117188,0.0965420007705688,19.3183994293213,20.2879009246826,0.0863209962844849,-999,-999,7,7,5,4,16892216,0.999478995800018,16892216,0.999647974967957,16892216,0.999001979827881,16892216,0.998396992683411
174042161912936510,216.19118629,55.03801857,20.2334995269775,0.0367049984633923,19.8479995727539,0.0625860020518303,19.1399002075195,0.0459659993648529,18.0853996276855,19.2343006134033,0.0332130007445812,19.3724994659424,0.0907049998641014,11,12,12,14,16892216,0.999620974063873,16892216,0.999337017536163,16892216,0.999426007270813,16892216,0.999725997447968
174042162238126648,216.22369552,55.03829123,21.9022006988525,0.134540006518364,21.3785991668701,0.0824650004506111,21.2469005584717,0.0825949981808662,20.6326999664307,20.8645992279053,0.11336600035429,20.1550006866455,0.159372001886368,5,7,13,2,16892216,0.999791979789734,16892216,0.999140977859497,16892216,0.999498009681702,16892216,0.998199999332428
174012161815882478,216.18159063,55.00979263,22.0034999847412,0.186346992850304,21.0589008331299,0.0552299991250038,20.4158000946045,0.0741169974207878,19.9018001556396,20.0337009429932,0.0538289994001389,19.7597007751465,0.22324900329113,1,10,13,15,115000,0.99883097410202,16892216,0.99915999174118,16892216,0.99957400560379,16892216,0.999409973621368
174032162421412842,216.24206849,55.02681297,21.5400009155273,0.0442430004477501,20.8848991394043,0.0618089996278286,20.747200012207,0.134812995791435,19.877799987793,20.548999786377,0.0879279971122742,-999,-999,6,10,11,8,16892216,0.999728977680206,16892216,0.998907029628754,16892216,0.999152004718781,16892216,0.999149978160858
174082160873411580,216.08739658,55.06730963,21.7555999755859,0.0354689992964268,21.362699508667,0.0481600016355515,21.2261009216309,0.0704580023884773,20.6602001190186,21.0398998260498,0.104443997144699,-999,-999,4,9,6,4,115000,0.999517977237701,16892216,0.999302983283997,16892216,0.998961985111237,115000,0.999077022075653
174072160514848521,216.05175203,55.06492268,21.4587001800537,0.271263003349304,21.5184001922607,0.0902400016784668,20.9633007049561,0.292874991893768,19.1424999237061,21.4729995727539,0.18435500562191,-999,-999,4,3,2,1,16777496,0.999252021312714,16777496,0.999769985675812,16777496,0.998170971870422,16777496,0.97289502620697
174082161737425951,216.17376551,55.07104475,21.7233009338379,0.0377999991178513,21.2681007385254,0.0634389966726303,21.0617008209229,0.0892409980297089,20.2392997741699,20.818000793457,0.0571149997413158,19.9855003356934,0.184846997261047,8,14,14,10,16892216,0.999606013298035,16892216,0.999593019485474,16892216,0.999787986278534,16892216,0.998974025249481
174082161561793214,216.15614474,55.06863103,20.7150001525879,0.0196029990911484,19.55419921875,0.0281220003962517,18.9162006378174,0.0385590009391308,18.2649002075195,18.7490997314453,0.00882400013506413,18.6518001556396,0.023930000141263,10,12,18,13,16892216,0.999715983867645,16892216,0.999369025230408,16892216,0.999475002288818,16892216,0.999345004558563
174072161508919709,216.15075142,55.06580444,21.0543994903564,0.0592220015823841,20.2080993652344,0.0778260007500649,19.7208995819092,0.0516639985144138,19.2098007202148,19.6541004180908,0.0268619991838932,19.4519996643066,0.0605150014162064,10,12,16,16,16892216,0.999716997146606,16892216,0.999015986919403,16892216,0.999641001224518,16892216,0.999843001365662
174092161631679682,216.16326382,55.08244189,21.9505996704102,0.065090999007225,21.6187992095947,0.162145003676414,21.2147006988525,0.120898000895977,20.4615001678467,20.8950004577637,0.174099996685982,-999,-999,2,1,12,6,16892216,0.999099016189575,16892216,0.998369991779327,16892216,0.99950098991394,16892216,0.998803973197937
174092161272857000,216.12729761,55.0802386,21.9867000579834,0.0460879988968372,21.2474002838135,0.0389660000801086,20.7481994628906,0.0658230036497116,19.9456005096436,20.2614002227783,0.0507190003991127,-999,-999,4,7,12,13,16892216,0.999255001544952,16892216,0.999297022819519,16892216,0.999634981155396,16892216,0.999616980552673
174112161233568241,216.12335632,55.09776469,21.6352996826172,0.0685399994254112,21.1688995361328,0.0286899991333485,20.6439990997314,0.0382860004901886,20.0440998077393,20.237699508667,0.0853900015354156,20.2043991088867,0.110416002571583,8,4,4,9,280,0.999149024486542,16777496,0.999683022499084,16777496,0.999480009078979,16777496,0.999835014343262
174042161791568076,216.17931422,55.03928056,21.4267997741699,0.172536000609398,21.580099105835,0.0957430005073547,21.2471008300781,0.0501380003988743,20.6543006896973,21.2299995422363,0.149278998374939,-999,-999,1,6,7,1,16777488,0.998852014541626,280,0.998969972133636,16777496,0.999534010887146,16777496,0.997421979904175
174042161699547701,216.16994485,55.03918798,21.8852005004883,0.1615169942379,21.1264991760254,0.0863030031323433,20.8745002746582,0.0944849997758865,20.3537006378174,20.5622997283936,0.049601998180151,-999,-999,1,10,9,13,115000,0.854615986347198,16892216,0.999559998512268,16892216,0.999504029750824,115000,0.998879015445709
174052161903478778,216.19025653,55.04836518,21.6797008514404,0.0365540012717247,20.5536994934082,0.0521520003676414,19.9804000854492,0.030409000813961,19.3264007568359,19.7483005523682,0.0528430007398129,19.3579006195068,0.169505998492241,10,9,12,14,16892216,0.999754011631012,16892216,0.999366998672485,16892216,0.99950498342514,16892216,0.99966299533844
174062161648831201,216.16489886,55.05035694,20.4638004302979,0.0135310003533959,19.3572998046875,0.0691440030932426,18.8927993774414,0.0492659993469715,18.1082000732422,18.5142002105713,0.0193600002676249,18.3218002319336,0.037007000297308,8,8,8,10,16892216,0.99932998418808,16892216,0.999364018440247,16892216,0.999544978141785,16892216,0.999523997306824
174002161294217633,216.1293524,55.00577858,21.9783992767334,0.00988699961453676,20.8433990478516,0.0794619992375374,19.8216991424561,0.0608020015060902,19.1196994781494,19.5620002746582,0.0399009995162487,19.5914993286133,0.0263490006327629,3,9,14,15,16892216,0.999019026756287,16892216,0.99923700094223,16892216,0.999787986278534,16892216,0.999737024307251
