objid,ramean,decmean,gmeanpsfmag,gmeanpsfmagerr,rmeanpsfmag,rmeanpsfmagerr,imeanpsfmag,imeanpsfmagerr,imeankronmag,zmeanpsfmag,zmeanpsfmagerr,ymeanpsfmag,ymeanpsfmagerr,gmeanpsfmagnpt,rmeanpsfmagnpt,imeanpsfmagnpt,zmeanpsfmagnpt,gflags,gqfperfect,rflags,rqfperfect,iflags,iqfperfect,zflags,zqfperfect
107991465486948256,146.54866456,-0.00180942,21.550199508667,0.100677996873856,20.714599609375,0.0560909993946552,20.3311996459961,0.0636010020971298,19.797700881958,20.4797992706299,0.0231180004775524,19.7320003509521,0.112556003034115,6,5,9,14,16892216,0.999628007411957,16892216,0.999217987060547,16892216,0.999836981296539,16892216,0.99932599067688
107961464526328869,146.45266226,-0.02626277,21.7660007476807,0.113393001258373,20.207799911499,0.0462139993906021,19.7203998565674,0.0710870027542114,19.0380992889404,19.915599822998,0.0462660007178783,18.9720993041992,0.060249000787735,3,8,18,15,16892216,0.998300015926361,16892216,0.999706983566284,16892216,0.999836027622223,16892216,0.999393999576569
107981464559287062,146.45597567,-0.01116257,21.8383007049561,0.177595004439354,21.3619995117188,0.028634000569582,20.9724998474121,0.0637030005455017,20.453800201416,20.6275005340576,0.0669820010662079,20.2996997833252,0.144622996449471,2,4,18,6,115000,0.998552978038788,16892216,0.998843014240265,16892216,0.999745011329651,16892216,0.999668002128601
107991464805885877,146.48072636,-0.00377272,22.2124996185303,0.113187000155449,21.3684005737305,0.0228550005704165,21.5319004058838,0.124416999518871,-999,20.9790000915527,0.114592999219894,-999,-999,3,3,5,3,115000,0.999336004257202,115000,0.999336004257202,115000,0.999356985092163,16892216,0.998650014400482
107981464987408882,146.49881528,-0.00972151,21.210599899292,0.0832389965653419,20.1788005828857,0.0547519996762276,19.683500289917,0.101627998054028,18.6910991668701,20.1674003601074,0.0340370014309883,19.2070007324219,0.0861790031194687,10,7,19,9,16892216,0.999212026596069,16892216,0.999660015106201,16892216,0.999809980392456,16892216,0.999132990837097
107971464751796696,146.47518953,-0.01974143,21.8665008544922,0.105779998004436,21.2378997802734,0.0743869990110397,21.1054992675781,0.101717002689838,19.9097003936768,20.9577007293701,0.173562005162239,-999,-999,3,5,6,1,16777496,0.999626994132996,16777496,0.999332010746002,16777496,0.999384999275208,16777496,0.996762990951538
107971464750327041,146.47501354,-0.01957195,22.1298999786377,0.212239995598793,21.0972003936768,0.141111001372337,20.7434005737305,0.133141994476318,19.6972007751465,21.1142997741699,0.136583998799324,-999,-999,2,2,9,3,16892216,0.999508023262024,16892216,0.999432027339935,16892216,0.999888002872467,16892216,0.998681008815765
107801465608469378,146.56080081,-0.15921289,21.1151008605957,0.0706309974193573,20.0681991577148,0.042603000998497,19.521900177002,0.0367709994316101,18.7863998413086,19.4090003967285,0.0471040010452271,18.8486995697021,0.0892110019922256,6,6,13,11,16892216,0.999190986156464,16892216,0.999611020088196,16892216,0.999624013900757,16892216,0.999117016792297
107861465549598200,146.55493441,-0.11016951,21.6543006896973,0.0807529985904694,21.1079998016357,0.0538699999451637,20.7796993255615,0.0569150000810623,20.1637001037598,20.9710998535156,0.0823879987001419,-999,-999,8,11,15,4,16892216,0.999365985393524,16892216,0.99966299533844,16892216,0.99957001209259,16892216,0.999185025691986
107871465122581808,146.51219063,-0.10718374,21.9608001708984,0.0812639966607094,20.8469009399414,0.0530500002205372,20.0956001281738,0.0428000018000603,19.3992004394531,20.1844997406006,0.0777669996023178,19.2924003601074,0.122836001217365,2,6,18,8,16892216,0.998861014842987,16892216,0.999053001403809,16892216,0.999495983123779,16892216,0.999373972415924
107851465332095801,146.53315285,-0.12071464,22.0440006256104,0.0156740006059408,21.0191993713379,0.0622150003910065,20.5090007781982,0.107022002339363,19.5988998413086,20.6021003723145,0.102969996631145,-999,-999,2,9,9,3,16777496,0.999087989330292,16777496,0.99947202205658,16777496,0.999324977397919,16777496,0.99925297498703
