objid,ramean,decmean,gmeanpsfmag,gmeanpsfmagerr,rmeanpsfmag,rmeanpsfmagerr,imeanpsfmag,imeanpsfmagerr,imeankronmag,zmeanpsfmag,zmeanpsfmagerr,ymeanpsfmag,ymeanpsfmagerr,gmeanpsfmagnpt,rmeanpsfmagnpt,imeanpsfmagnpt,zmeanpsfmagnpt,gflags,gqfperfect,rflags,rqfperfect,iflags,iqfperfect,zflags,zqfperfect
95992233349668948,223.33503092,-10.00121198,20.6406002044678,0.0292899999767542,19.7861003875732,0.0607189983129501,19.3059005737305,0.0491910018026829,18.7780990600586,19.1688003540039,0.0533800013363361,18.8659000396729,0.0647090002894402,10,10,20,11,16892216,0.999468982219696,16892216,0.999634027481079,16892216,0.999797999858856,16892216,0.999518990516663
95992233356207676,223.33564896,-10.00223784,21.1825008392334,0.0532430000603199,20.1700992584229,0.0581419989466667,19.5270004272461,0.0469180010259151,18.8812007904053,19.3745994567871,0.0419940017163754,18.8250999450684,0.0134460004046559,7,11,15,11,16892216,0.999293982982636,16892216,0.999471008777618,16892216,0.999710023403168,16892216,0.999677002429962
96072232680173457,223.26794564,-9.93917817,21.9368000030518,0.0936120003461838,21.1371994018555,0.13018299639225,21.2325000762939,0.100074000656605,20.6996002197266,20.6040000915527,0.162736997008324,19.6741008758545,0.177665993571281,3,5,13,3,16892216,0.999095022678375,16892216,0.999379992485046,16892216,0.999143004417419,16892216,0.997735977172852
95992232354854652,223.23551247,-10.00481208,22.0354995727539,0.182821005582809,21.8346004486084,0.107712998986244,20.9993000030518,0.049991000443697,20.4176006317139,20.8453006744385,0.0654570013284683,19.9421005249023,0.140314996242523,1,6,19,11,115000,0.997744023799896,16892216,0.999098002910614,16892216,0.99917197227478,16892216,0.999208986759186
95982232744295587,223.27453683,-10.01233317,22.3798999786377,0.179501995444298,21.3518009185791,0.063280001282692,20.9456005096436,0.0807790011167526,20.1856994628906,20.5997009277344,0.0790460035204887,19.8262996673584,0.143920004367828,1,5,19,8,16892216,0.998344004154205,16892216,0.999720990657806,16892216,0.999213993549347,16892216,0.999684989452362
96032232941047043,223.29415366,-9.96953588,22.0307006835938,0.197162002325058,22.108699798584,0.0534170009195805,21.8101005554199,0.192687004804611,20.88330078125,20.2220993041992,0.180141001939774,-999,-999,1,2,1,1,115000,0.998726010322571,115000,0.998993992805481,16892216,0.99923700094223,114992,0.997296988964081
96022233046527707,223.30458191,-9.97723738,19.8616008758545,0.0296529997140169,19.0391998291016,0.0965389981865883,18.6056995391846,0.062304001301527,17.815299987793,18.639799118042,0.0176330003887415,18.2371997833252,0.026800999417901,8,12,24,9,16892216,0.999377012252808,16892216,0.999909996986389,16892216,0.999797999858856,16892216,0.99891197681427
96012232747495596,223.2747625,-9.98738661,21.7950000762939,0.0834869965910912,21.6611995697021,0.0387529991567135,21.3152008056641,0.101396001875401,20.7998008728027,20.8547992706299,0.175025999546051,-999,-999,3,2,12,5,16892216,0.99871701002121,16892216,0.998196005821228,16892216,0.998719990253448,115000,0.999835014343262
96022232871334708,223.28711737,-9.97977443,22.0442008972168,0.0568110011518002,21.5168991088867,0.110330998897552,20.9722995758057,0.0968519970774651,20.2996006011963,20.753999710083,0.107006996870041,-999,-999,3,5,18,5,16892216,0.999161005020142,16892216,0.999647974967957,16892216,0.999810993671417,16892216,0.999490022659302
96172232304015161,223.23042581,-9.85431442,21.2931003570557,0.0456800013780594,21.0214996337891,0.094639003276825,20.7035999298096,0.057303000241518,20.066499710083,20.5293998718262,0.119856998324394,19.6562995910645,0.156544998288155,10,12,23,9,16892216,0.999864995479584,16892216,0.999541997909546,16892216,0.999668002128601,16892216,0.999202013015747
96172232275839901,223.22757936,-9.85044563,20.2276992797852,0.042263001203537,19.1079006195068,0.0703969970345497,18.4295997619629,0.0320289991796017,17.6527004241943,18.1993007659912,0.0240260008722544,17.7653999328613,0.0242480002343655,12,7,22,6,16892216,0.99956202507019,16892216,0.999355018138886,16892216,0.999417006969452,16892216,0.999080002307892
