Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,DES Footprint,PanSTARRS,NED,PSZ2 Indx,PSZ1 Indx,Redshift,Semester,Val,PCCS2,SNR_PSZ2,SNR_PSZ1,MOSAIC Imaging,Optical run2,SALT Imaging,SALT Spec,SOAR Imaging,NEWFIRM Imaging,RAW MOSAIC,RAW NEWFIRM,VO MOSAIC,VO NEWFIRM,Mosaics,Catalogs,Calibrated,Color Cat,Photo-z,maxBCG,ROSAT_x,RASS rate,RASS S/N,New RASS rate,New RASS S/N,Validation,COSMO,COMMENT,PCCS,Optical run1,Optical run2_y,IR run1,Swift,Comments
PSZ2_G289.50+32.71,179.9769069,-28.80465715,11:59:54,-28:48:17,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=11%3A59%3A54+-28%3A48%3A17&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=179.976907d&lat=-28.804657d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1361,-1,-1,,-1,F,4.9718,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,0.0119,1.37,,FALSE,FALSE,FALSE,,,,,
PSZ2_G224.86-79.51,24.5815777,-28.80738059,1:38:20,-28:48:27,FALSE,,TRUE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=1%3A38%3A20+-28%3A48%3A27&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=24.581578d&lat=-28.807381d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1010,-1,-1,,-1,F,4.9797,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,-0.0029,-0.88,,FALSE,FALSE,FALSE,,,,,
PSZ2_G271.55+26.00,160.560815,-28.88023534,10:42:15,-28:52:49,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=10%3A42%3A15+-28%3A52%3A49&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=160.560815d&lat=-28.880235d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1264,-1,-1,,-1,F,5.0151,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,0.0248,2.42,,FALSE,FALSE,FALSE,,,,,
PSZ2_G338.04+23.65,229.88005,-28.94048581,15:19:31,-28:56:26,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=15%3A19%3A31+-28%3A56%3A26&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=229.880050d&lat=-28.940486d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1580,-1,-1,,-1,T,6.0595,,,,4/3/2016,,,,,,,,,,,FALSE,FALSE,FALSE,,,,-0.0083,-1.73,,FALSE,FALSE,FALSE,,,,,
PSZ2_G338.21+23.46,230.1449047,-29.00079718,15:20:35,-29:00:03,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=15%3A20%3A35+-29%3A00%3A03&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=230.144905d&lat=-29.000797d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1581,1175,-1,,-1,T,6.079,4.821,,,4/26/2016,,,,,,,,,,,FALSE,FALSE,FALSE,,0.0004,0.06,0.0014,0.21,3,FALSE,TRUE,TRUE,,,,,
PSZ2_G337.90+23.58,229.8026131,-29.07012872,15:19:13,-29:04:12,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=15%3A19%3A13+-29%3A04%3A12&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=229.802613d&lat=-29.070129d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1575,1171,-1,-999,-1,T,7.789,6.743,3/28/2014,,3/28/2014,,,,,,,,,,,FALSE,FALSE,FALSE,,-0.0027,-0.43,-0.0048,-0.87,3,FALSE,TRUE,TRUE,3/28/2014,,,Not in FoV (00046353004),
PSZ2_G338.52+22.97,230.7418915,-29.2306816,15:22:58,-29:13:50,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=15%3A22%3A58+-29%3A13%3A50&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=230.741892d&lat=-29.230682d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1583,-1,-1,,-1,T,6.1074,,,,4/15/2016,,,,,,,,,,,FALSE,FALSE,FALSE,,,,-0.0113,-2.85,,FALSE,FALSE,FALSE,,,,,
PSZ2_G338.25+22.60,230.761883,-29.68049547,15:23:03,-29:40:50,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=15%3A23%3A03+-29%3A40%3A50&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=230.761883d&lat=-29.680495d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1582,1176,-1,,-1,F,5.793,6.634,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,0.0003,0.04,-0.0004,-0.05,3,FALSE,TRUE,FALSE,,,,,
PSZ2_G337.95+22.70,230.4398862,-29.75485362,15:21:46,-29:45:17,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=15%3A21%3A46+-29%3A45%3A17&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=230.439886d&lat=-29.754854d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,1578,-1,-1,,-1,T,6.0316,,,,4/30/2016,,,,,,,,,,,FALSE,FALSE,FALSE,,,,0.0154,1.69,,FALSE,FALSE,FALSE,,,,,
PSZ1_G225.80-66.19,39.82825604,-29.81444154,2:39:19,-29:48:52,FALSE,,FALSE,http://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=2%3A39%3A19+-29%3A48%3A52&filter=color&filter=g&filter=r&filter=i&filetypes=stack&auxiliary=data&size=1200&output_size=0&verbose=0&autoscale=99.500000&catlist=,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=39.828256d&lat=-29.814442d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,,,,,,,,7.771,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,0.0039,0.78,,,3,FALSE,TRUE,TRUE,9/7/2013,11/28/2013,12/16/2013,,
