PSZ2 Indx,Name,RA,DEC,RA_SEX,DEC_SEX,SDSS Footprint,SkyServer,SDSS Catalog,DES,DES Catalog,NED,SNR,PSZ1,Redshift,Semester,Val,PCCS2,PSZ1 Name,Optical run1,Optical run2,IR run1,Optical Bands,Optical Status,IR Status,Observable,ROSAT,RASS rate,RASS S/N,New RASS rate,New RASS S/N,PSZ1 Index,PSZ2 Index,New S/N,Old S/N,Notes
1043,PSZ2_G230.28-28.57,82.78813825,-26.82472872,5:31:09,-26:49:29,FALSE,,,TRUE,MADE,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=82.788138d&lat=-26.824729d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.3019,-1,-1,-2,-1,T,,2-Apr-16,,12-Nov-16,,unknown,unknown,FALSE,,,,-0.0058,-2.66,,,,,
845,PSZ2_G181.88-30.77,61.08926858,9.27079767,4:04:21,+09:16:14.87,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=61.089269d&lat=9.270798d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.2935,-1,-1,2,-1,F,,25-Nov-16,,17-Nov-15,,unknown,unknown,TRUE,,,,-0.0029,-0.85,,,,,
165,PSZ2_G044.83+10.02,279.164107,15.08047921,18:36:39,+15:04:49.72,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=279.164107d&lat=15.080479d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.2704,127,-1,1,-1,T,PSZ1_G044.83+10.02,7-Oct-15,,21-Feb-16,,unknown,unknown,FALSE,,-0.0021,-0.59,-0.0021,-0.59,127,165,9.27,7.27,
1100,PSZ2_G243.00-65.94,38.9777896,-36.73761312,2:35:55,-36:44:15,FALSE,,,TRUE,MADE,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=38.977790d&lat=-36.737613d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.1819,-1,-1,-2,-1,F,,,,,,unknown,unknown,FALSE,,,,-0.0023,-0.81,,,,,
113,PSZ2_G032.12-14.96,295.8916172,-7.462413944,19:43:34,-7:27:45,TRUE,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=295.891617&dec=-7.462414&opt=S,MADE,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=295.891617d&lat=-7.462414d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.1188,88,-1,-1,-1,F,PSZ1_G032.15-14.93,14-Jul-16,,13-Nov-16,,unknown,unknown,TRUE,,-0.0076,-2.13,-0.0036,-0.72,88,113,9.119,8.214,
1033,PSZ2_G228.35-66.31,39.66915281,-30.83913394,2:38:41,-30:50:21,FALSE,,,TRUE,MADE,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=39.669153d&lat=-30.839134d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.0827,-1,-1,-2,-1,F,,,,13-Nov-16,,unknown,unknown,TRUE,,,,0.0227,2.6,,,,,
105,PSZ2_G029.80-17.40,297.1337388,-10.52775726,19:48:32,-10:31:40,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=297.133739d&lat=-10.527757d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,9.0066,78,-1,-1,-1,T,PSZ1_G029.79-17.37,13-Jun-16,,,,unknown,unknown,TRUE,,0.0007,0.08,0.0068,0.67,78,105,9.007,6.591,
1388,PSZ2_G294.37-14.33,159.2046791,-74.91753648,10:36:49,-74:55:03,FALSE,,,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=159.204679d&lat=-74.917536d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,8.8712,1030,-1,-1,-1,T,PSZ1_G294.39-14.34,3-Apr-16,,,,unknown,unknown,FALSE,,0.0621,0.92,0.0257,0.83,1030,1388,8.871,4.98,
303,PSZ2_G071.67-42.76,337.7250414,5.701450071,22:30:54,+05:42:05.22,TRUE,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=337.725041&dec=5.701450&opt=S,MADE,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=337.725041d&lat=5.701450d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,8.6349,239,-1,-999,-1,T,PSZ1_G071.64-42.76,7-Sep-13,24-Oct-14,3-Nov-14,,unknown,unknown,FALSE,,-0.0021,-0.4,-0.0024,-0.46,239,303,8.635,8.821,
1465,PSZ2_G310.81+83.91,193.7525349,21.0947672,12:55:01,+21:05:41.16,TRUE,http://skyserver.sdss.org/dr13/en/tools/chart/navi.aspx?ra=193.752535&dec=21.094767&opt=S,MADE,FALSE,,https://ned.ipac.caltech.edu/cgi-bin/objsearch?in_csys=Equatorial&in_equinox=J2000.0&lon=193.752535d&lat=21.094767d&radius=5&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&z_constraint=Unconstrained&z_value1=&z_value2=&z_unit=z&ot_include=ANY&in_objtypes1=Galaxies&in_objtypes1=GPairs&in_objtypes1=GTriples&in_objtypes1=GGroups&in_objtypes1=GClusters&search_type=Near+Position+Search&nmp_op=ANY&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=Distance+to+search+center&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES,8.2891,1093,-1,1,-1,T,,26-Nov-16,,21-Feb-16,,unknown,unknown,TRUE,,,,-0.0041,-1.35,1093,,,,
