Label,Target1,RA,Dec,RA_SEX,DEC_SEX,,,TOTAL Exp Time [ksec]6,Estimated XRT Count Rate7,Magnitude Of Brightest Object In FOV8,Comment11,PSZ2 ID#,Target ID,Number of Segments Observed,AFST time (s),Exposure time (s),Extended X-rays?,Opt/IR data?,Reobserve in Cycle 13,N_H (10^{22} atoms cm^-2),Swift XRT flux (0.1-2.4 keV),Frac flux error,RA (Swift XRT),Dec (Swift XRT),Optical/IR counterpart (BCG),Optical/IR mag,Optical/IR band,Redshift,Radio flux (mJy),Radio freq/survey,SALT,SALT Redshift
3,PSZ1_G048.22-51.60,335.0520833,-12.21652778,22:20:13,-12:13:00,,,3,0.02,B=8.83, Jack Hughes - S/N=4.505,192,85595,2,2645,2570,Yes,,n,0.039,5.71E-13,0.15,22 20 16.8,-12 11 39.8,,,,0.544,,,,
3,PSZ1_G048.22-65.03,347.4625,-18.31830556,23:09:51,-18:19:06,,,3,0.037,B=9.672, Jack Hughes - S/N=4.616,191,85596,4,2715,2622,Yes,,n,0.0203,1.19E-12,0.18,23 09 51,-18 19 55,MRSS 604-057875,18.2,R,0.42,15.1 +/- 0.7,1.4GHz/NVSS,,
3,PSZ1_G057.42-10.77,304.3558333,16.09252778,20:17:25,+16:05:33.10,,,3,0.075,B=7.341, Jack Hughes - S/N=4.757,-999.1,85597,3,1505,1444,Yes,,n,0.113,2.56E-12,0.09779091327,20 17 28.1,+16 03 36,2MASX J20172578+1603270 ,,,-1,,,,
3,PSZ1_G063.80+11.42,286.4733333,32.54588889,19:05:54,+32:32:45.20,,,3,0.042,B=5.567, Jack Hughes - S/N=5.9,263,85598,4,5255,5157,Yes,,n,0.0998,9.72E-13,0.083,19 05 58,32 32 53,,,,0.426,,,,
3,PSZ1_G078.39+46.13,242.2708333,50.20997222,16:09:05,+50:12:35.90,,,3,0.011,B=7.888, Jack Hughes - S/N=4.904,-999.1,,,0,,,,y,,,,, ,,,,-1,,,,
3,PSZ1_G084.62-15.86,327.4320833,33.17327778,21:49:44,+33:10:23.80,,,3,0.026,B=8.043, Jack Hughes - S/N=6.012,369,85600,2,2758,2703,Yes (4-XMM),Opt,,0.108,6.04E-13,0.18,21 49 42,+33 10 55,,,,0.3673,,,,
3,PSZ1_G103.50+31.36,264.19,72.55369444,17:36:46,+72:33:13.30,,,3,0.013,B=6.886, Jack Hughes - S/N=4.635,-999.1,85601,12,3305,3049,Yes,,,,,,17 36 49,+72 34 17,,,,-1,,,,
3,PSZ1_G103.94+25.81,282.9691667,72.96725,18:51:53,+72:58:02.10,,,3,0.044,B=10.108, Jack Hughes - S/N=4.784,-999.1,85602,11,3220,3052,Yes,,,0.0631,1.23E-12,0.13,18 52 09,+72 59 34,2MASX J18520952+7259341 ,16.73,,0.077143 (NED),,,,
3,PSZ1_G117.29+13.44,350.68875,75.33533333,23:22:45,+75:20:07.19,,,3,0.011,B=9.84, Jack Hughes - S/N=4.537,-999.1,85603,6,2450,2325,Yes,,,0.199,6.08E-13,0.19,23 22 24,+75 20 16,,,,-1,,,,
3,PSZ1_G123.39+30.62,186.4329167,86.47575,12:25:44,+86:28:32.70,,,3,0.023,B=6.767, Jack Hughes - S/N=4.533,604,85604,3,570,490,Possible,,y,,,,, ,,,,-1,,,,
